NYC subway

http://en.wikipedia.org/wiki/New_York_City_Subway

Line 1

Marcy Avenue 					Essex Street
Essex Street 					Bowery
Bowery 						Canal Street	
Canal Street					Chambers Street
Chambers Street					Fulton Street
Fulton Street 					Broad Street

Line L

Eighth Avenue					Sixth Avenue
Sixth Avenue					Union Square
Union Square					Third Avenue
Third Avenue 					First Avenue
First Avenue 					Bedford Avenue
Bedford Avenue					Lorimer Street 			
Lorimer Street					Graham Avenue
Graham Avenue 					Grand Street
Grand Street 					Montrose Avenue
Montrose Avenue 				Morgan Avenue	
Morgan Avenue 					Jefferson Street
Jefferson Street 				DeKalb Avenue	
DeKalb Avenue 					Myrtle-Wyckoff Avenues		
Myrtle-Wyckoff Avenues				Halsey Street
Halsey Street 					Wilson Avenue
Wilson Avenue 					Bushwick Avenue-Aberdeen Street
Bushwick Avenue-Aberdeen Street 		Broadway Junction
Broadway Junction	 			Atlantic Avenue
Atlantic Avenue					Sutter Avenue
Sutter Avenue 					Livonia Avenue
Livonia Avenue 					New Lots Avenue			
New Lots Avenue					East 105th Street
East 105th Street 				Canarsie-Rockaway Parkway

Line M

Middle Village–Metropolitan Avenue		Fresh Pond Road
Fresh Pond Road 				Forest Avenue	
Forest Avenue 					Seneca Avenue
Seneca Avenue 					Myrtle–Wyckoff Avenues	
Myrtle–Wyckoff Avenues 				Knickerbocker Avenue
Knickerbocker Avenue 				Central Avenue	
Central Avenue 					Myrtle Avenue	
Myrtle Avenue 					Flushing Avenue		
Flushing Avenue					Lorimer Street
Lorimer Street 					Hewes Street
Hewes Street 					Marcy Avenue	
Marcy Avenue 					Essex Street
Essex Street 					Bowery
Bowery 						Canal Street
Canal Street 					Chambers Street	
Chambers Street					Fulton Street
Fulton Street					Broad Street
Broad Street 					Court Street
Court Street 					Lawrence Street–MetroTech
Lawrence Street–MetroTech 			DeKalb Avenue
DeKalb Avenue					Atlantic Avenue–Pacific Street
Atlantic Avenue–Pacific Street			Union Street
Union Street 					Ninth Street
Ninth Street 					Prospect Avenue
Prospect Avenue 				25th Street
25th Street 					36th Street
36th Street 					Ninth Avenue
Ninth Avenue 					Fort Hamilton Parkway
Fort Hamilton Parkway				50th Street
50th Street 					55th Street
55th Street 					62nd Street
62nd Street 					71st Street
71st Street 					79th Street
79th Street 					18th Avenue
18th Avenue 					20th Avenue
20th Avenue 					Bay Parkway

Line N

Astoria–Ditmars Boulevard			Astoria Boulevard
Astoria Boulevard				30th Avenue
30th Avenue 					Broadway 		
Broadway 					36th Avenue 		
36th Avenue 					39th Avenue 		
39th Avenue 					Queensboro Plaza
Queensboro Plaza 				Lexington Avenue/59th Street
Lexington Avenue/59th Street			Fifth Avenue/59th Street
Fifth Avenue/59th Street			57th Street
57th Street	  				49th Street 		
49th Street					Times Square–42nd Street
Times Square–42nd Street			34th Street–Herald Square
34th Street–Herald Square			28th Street
28th Street	   				23rd Street
23rd Street 					14th Street–Union Square
14th Street–Union Square			Eighth Street–NYU
Eighth Street–NYU 				Prince Street
Prince Street 					Canal Street
Canal Street 					City Hall
City Hall 					Cortlandt Street		
Cortlandt Street				Rector Street
Rector Street 					Whitehall Street–South Ferry	
Whitehall Street–South Ferry			Court Street
Court Street	       				Lawrence Street–MetroTech
Lawrence Street–MetroTech 			DeKalb Avenue
DeKalb Avenue					Canal Street
Canal Street					Atlantic Avenue–Pacific Street
Atlantic Avenue–Pacific Street			Union Street
Union Street 					Ninth Street
Ninth Street 					Prospect Avenue
Prospect Avenue 				25th Street 	
25th Street 					36th Street
36th Street 					45th Street 			
45th Street 					53rd Street
53rd Street 					59th Street 			
59th Street 					Eighth Avenue 			
Eighth Avenue 					Fort Hamilton Parkway
Fort Hamilton Parkway 				New Utrecht Avenue	
New Utrecht Avenue 				18th Avenue
18th Avenue 					20th Avenue
20th Avenue 					Bay Parkway
Bay Parkway 					Kings Highway 
Kings Highway 					Avenue U
Avenue U 					86th Street
86th Street 					Coney Island–Stillwell Avenue


Line Q

57th Street					Times Square-42nd Street
Times Square-42nd Street			34th Street-Herald Square
34th Street-Herald Square			14th Street-Union Square
14th Street-Union Square			Canal Street
Canal Street	  				DeKalb Avenue
DeKalb Avenue					Atlantic Avenue
Atlantic Avenue					Seventh Avenue
